diseaseId,targetId,associationScore
EFO_0000182,ENSG00000134982,0.7116575017577609
EFO_0000183,ENSG00000120949,0.5967145219120987
EFO_0000198,ENSG00000119699,0.5609096912879178
EFO_0000198,ENSG00000188827,0.5036449973405852
EFO_0000222,ENSG00000179295,0.643149282957622
EFO_0000222,ENSG00000198056,0.5887584636285678
EFO_0000228,ENSG00000123416,0.5606252319060319
EFO_0000239,ENSG00000165731,0.6063763661023913
EFO_0000275,ENSG00000078114,0.5439009348499289
EFO_0000279,ENSG00000129646,0.7141537576531103
EFO_0000304,ENSG00000129514,0.5113119205238329
EFO_0000305,ENSG00000146143,0.5437817907937889
EFO_0000305,ENSG00000163491,0.5066125057626893
EFO_0000309,ENSG00000067560,0.5284260416099156
EFO_0000319,ENSG00000070915,0.5922068834806987
EFO_0000319,ENSG00000171873,0.5903193756082233
EFO_0000400,ENSG00000011523,0.5067846676873168
EFO_0000400,ENSG00000198786,0.601585697870261
EFO_0000464,ENSG00000197249,0.550805953493362
EFO_0000474,ENSG00000022355,0.7359314905576712
EFO_0000474,ENSG00000187730,0.6067791317230145
EFO_0000508,ENSG00000008086,0.5469365378206956
EFO_0000508,ENSG00000033011,0.5097866817815808
EFO_0000508,ENSG00000037474,0.5173721921496902
EFO_0000508,ENSG00000121879,0.5317430344110328
EFO_0000508,ENSG00000140650,0.544667394465775
EFO_0000508,ENSG00000143614,0.539385586556351
EFO_0000508,ENSG00000183258,0.5522728529987277
EFO_0000537,ENSG00000111252,0.5633741658258917
EFO_0000537,ENSG00000136379,0.523999481296451
EFO_0000544,ENSG00000015413,0.5781991461418183
EFO_0000574,ENSG00000198033,0.5720311987293881
EFO_0000589,ENSG00000145850,0.5344249927703681
EFO_0000616,ENSG00000115170,0.5202666970006693
EFO_0000616,ENSG00000167552,0.601231625024606
EFO_0000676,ENSG00000112116,0.5797062900091206
EFO_0000676,ENSG00000113580,0.6043000485193208
EFO_0000676,ENSG00000162924,0.5107593546952882
EFO_0000676,ENSG00000196262,0.5694401005031722
EFO_0000676,ENSG00000213047,0.5053138747261936
EFO_0000681,ENSG00000122025,0.6416947424046747
EFO_0000681,ENSG00000134086,0.5420433239421338
EFO_0000684,ENSG00000143631,0.613004403252191
EFO_0000684,ENSG00000166949,0.5154630067087684
EFO_0000685,ENSG00000163508,0.5041349701472704
EFO_0000707,ENSG00000188389,0.569489045933823
EFO_0000712,ENSG00000065989,0.5460993134428502
EFO_0000756,ENSG00000048392,0.5625682757039402
EFO_0000756,ENSG00000171848,0.5730425937276592
EFO_0000763,ENSG00000184270,0.5036449973405852
EFO_0000763,ENSG00000273542,0.5040150222365906
EFO_0000763,ENSG00000278677,0.5036449973405852
EFO_0000764,ENSG00000006125,0.5518510185146126
EFO_0000764,ENSG00000047249,0.5518510185146126
EFO_0000764,ENSG00000058804,0.5415725491811313
EFO_0000764,ENSG00000064313,0.5794503427784674
EFO_0000764,ENSG00000082898,0.5602351030205291
EFO_0000764,ENSG00000140307,0.5790803178824621
EFO_0001068,ENSG00000239732,0.5787776067592489
EFO_0001075,ENSG00000116062,0.5511205662433422
EFO_0001075,ENSG00000167325,0.5433896617950297
EFO_0001378,ENSG00000127824,0.5818761274258862
EFO_0001378,ENSG00000205220,0.5981237410281456
EFO_0002609,ENSG00000095303,0.6013395707531605
EFO_0003047,ENSG00000159110,0.5953399081433997
EFO_0003060,ENSG00000124145,0.6175547778715293
EFO_0003060,ENSG00000127824,0.6027380743102897
EFO_0003060,ENSG00000157764,0.7138953198130736
EFO_0003096,ENSG00000080815,0.7128572753579548
EFO_0003105,ENSG00000148498,0.5963634533580253
EFO_0003108,ENSG00000089280,0.71796920444334
EFO_0003768,ENSG00000171456,0.527747280380256
EFO_0003827,ENSG00000117601,0.6039973233941279
EFO_0003875,ENSG00000198670,0.5401935783499869
EFO_0003888,ENSG00000184160,0.6003390160876148
EFO_0003893,ENSG00000136492,0.5635193196303242
EFO_0003914,ENSG00000169174,0.640320973491758
EFO_0004125,ENSG00000165370,0.5168014380874413
EFO_0004138,ENSG00000183873,0.7557448047779233
EFO_0004145,ENSG00000196218,0.5525063057853036
EFO_0004190,ENSG00000133019,0.5199815964992204
EFO_0004193,ENSG00000106066,0.5430770678591609
EFO_0004193,ENSG00000134480,0.6412038267701817
EFO_0004193,ENSG00000145715,0.645385115516338
EFO_0004193,ENSG00000185920,0.7663349902996451
EFO_0004229,ENSG00000215018,0.5887448490700301
EFO_0004261,ENSG00000143373,0.6271958833775084
EFO_0004269,ENSG00000138622,0.5676641590050754
EFO_0004274,ENSG00000074527,0.5054586134242778
EFO_0004274,ENSG00000159261,0.5008758709735897
EFO_0004305,ENSG00000065054,0.5445584338847408
EFO_0004305,ENSG00000127152,0.5141559675499239
EFO_0004305,ENSG00000184908,0.5469327708389726
EFO_0004305,ENSG00000196616,0.5574282007533143
EFO_0004309,ENSG00000072110,0.5425349655221818
EFO_0004309,ENSG00000080031,0.7019053929247793
EFO_0004309,ENSG00000138735,0.532574097192699
EFO_0004309,ENSG00000146535,0.5144817757895591
EFO_0004309,ENSG00000168769,0.7149425349393556
EFO_0004309,ENSG00000183287,0.520880090246228
EFO_0004312,ENSG00000134508,0.5051009703005555
EFO_0004314,ENSG00000064309,0.5282694452760576
EFO_0004314,ENSG00000168646,0.5123541044301309
EFO_0004324,ENSG00000112964,0.5334135391016244
EFO_0004324,ENSG00000113739,0.5800018893211561
EFO_0004337,ENSG00000138821,0.54208853381383
EFO_0004337,ENSG00000153006,0.5102995769297326
EFO_0004338,ENSG00000130203,0.5555508296523516
EFO_0004338,ENSG00000181690,0.5220183813641167
EFO_0004340,ENSG00000021645,0.5006142509483535
EFO_0004340,ENSG00000073792,0.5097877383243451
EFO_0004340,ENSG00000105948,0.5268257791728191
EFO_0004340,ENSG00000125851,0.5361886524084027
EFO_0004340,ENSG00000133065,0.5066233471450912
EFO_0004340,ENSG00000143032,0.5429812735789107
EFO_0004340,ENSG00000176463,0.501233207369982
EFO_0004340,ENSG00000183783,0.504931095117921
EFO_0004348,ENSG00000130222,0.5140163221153884
EFO_0004348,ENSG00000137834,0.5475389085074478
EFO_0004348,ENSG00000188064,0.5024876369110512
EFO_0004503,ENSG00000029534,0.5483416528174175
EFO_0004503,ENSG00000213398,0.5487951622638673
EFO_0004509,ENSG00000115109,0.5253598273512834
EFO_0004509,ENSG00000148143,0.5243172415103023
EFO_0004509,ENSG00000177311,0.5225745375816319
EFO_0004527,ENSG00000064787,0.5028790682296395
EFO_0004527,ENSG00000141524,0.5279160499015199
EFO_0004527,ENSG00000151090,0.5229059638458762
EFO_0004528,ENSG00000130656,0.5183979654809204
EFO_0004528,ENSG00000136689,0.5589863229431081
EFO_0004529,ENSG00000091583,0.5793208932540901
EFO_0004529,ENSG00000101076,0.539361250084379
EFO_0004529,ENSG00000119927,0.517898343340967
EFO_0004529,ENSG00000145850,0.570202991846739
EFO_0004529,ENSG00000158874,0.5373992487714138
EFO_0004529,ENSG00000188763,0.5143042819074073
EFO_0004530,ENSG00000088451,0.5325773966012002
EFO_0004530,ENSG00000090382,0.5473509763565361
EFO_0004530,ENSG00000119927,0.5251316315866629
EFO_0004530,ENSG00000127948,0.568403196840749
EFO_0004530,ENSG00000140416,0.5233827303761961
EFO_0004530,ENSG00000158019,0.541007202471872
EFO_0004530,ENSG00000173334,0.5587792197544852
EFO_0004530,ENSG00000198945,0.5401813713407847
EFO_0004531,ENSG00000021826,0.5432471951913653
EFO_0004531,ENSG00000175189,0.5224257410092336
EFO_0004532,ENSG00000115468,0.5440113824006545
EFO_0004532,ENSG00000116833,0.513497859418122
